tab	pmag_specimens
er_sample_name	er_specimen_name	specimen_int_uT	measurement_step_min	measurement_step_min	specimen_lab_field_dc	Anisotropy_correction_factor	NLT_correction_factor	Cooling_rate_correction_factor	specimen_dtr	specimen_int_mad_anc	specimen_int_n	specimen_dck	specimen_int_alpha	specimen_b_beta	specimen_dpal	specimen_f	specimen_q	specimen_dt
hw128	hw128a10	30.25	225	450	20	1.00	-	-	nan	1.54	10.00	3.38	1.68	0.03	4.96	0.57	16.36	-999.00
hw128	hw128a11	40.94	275	500	20	1.00	-	-	nan	1.86	10.00	3.69	1.28	0.06	4.59	0.52	7.05	-999.00
hw128	hw128b3	29.68	0	425	20	1.00	-	-	nan	5.17	12.00	2.23	10.95	0.02	3.02	0.80	29.80	-999.00
hw128	hw128b2	34.64	0	400	20	1.00	-	-	nan	5.06	11.00	1.21	13.27	0.02	0.38	0.72	39.56	-999.00
hw128	hw128b5	34.80	350	500	20	1.00	-	-	nan	1.50	7.00	4.35	0.93	0.05	3.44	0.59	8.81	-999.00
hw128	hw128b4	33.17	100	425	20	1.00	-	-	nan	2.14	11.00	1.71	7.74	0.02	4.79	0.56	27.73	-999.00
hw128	hw128a7	27.03	100	325	20	1.00	-	-	nan	1.33	8.00	3.87	2.43	0.02	4.06	0.66	25.87	-999.00
hw128	hw128d1	38.54	200	400	20	1.00	-	-	nan	1.31	9.00	4.15	1.72	0.03	3.73	0.55	16.13	-999.00
hw128	hw128d3	34.88	0	250	20	1.00	-	-	nan	1.69	5.00	2.95	3.70	0.01	4.01	0.65	60.90	-999.00
hw128	hw128d2	34.58	0	300	20	1.00	-	-	nan	1.47	7.00	4.20	2.36	0.01	4.71	0.76	50.83	-999.00
hw128	hw128d5	33.77	100	300	20	1.00	-	-	nan	2.30	6.00	3.87	3.80	0.04	0.79	0.57	5.57	-999.00
hw128	hw128d4	34.01	100	325	20	1.00	-	-	nan	0.76	7.00	3.83	1.03	0.03	2.49	0.65	15.09	-999.00
hw201	hw201a11	33.33	0	300	20	1.00	-	-	nan	1.42	8.00	4.42	2.17	0.01	4.85	0.70	41.51	-999.00
hw201	hw201a12	33.30	100	375	20	1.00	-	-	nan	2.08	10.00	3.85	7.68	0.03	1.87	0.54	17.10	-999.00
hw201	hw201a6	33.27	0	425	20	1.00	-	-	nan	1.60	13.00	2.77	0.74	0.02	2.84	0.91	34.84	-999.00
hw201	hw201a4	33.41	0	300	20	1.00	-	-	nan	4.23	8.00	3.59	4.30	0.03	4.61	0.84	21.83	-999.00
hw201	hw201a2	33.02	0	325	20	1.00	-	-	nan	1.19	9.00	0.96	1.37	0.05	3.32	0.63	11.44	-999.00
hw201	hw201a3	33.41	100	300	20	1.00	-	-	nan	3.78	7.00	3.71	5.92	0.06	3.77	0.57	6.24	-999.00
hw226	hw226a5	35.98	0	225	20	1.00	-	-	nan	1.47	5.00	2.15	0.79	0.07	2.17	0.80	8.42	-999.00
hw226	hw226a4	42.86	0	350	20	1.00	-	-	nan	2.38	10.00	3.28	0.81	0.06	4.69	0.91	12.36	-999.00
hw226	hw226a3	39.88	0	500	20	1.00	-	-	nan	2.32	16.00	4.22	0.58	0.01	1.68	0.98	68.73	-999.00
