tab 	er_ages
age	age_culture_name	age_description	age_range_high	age_range_low	age_sigma	age_unit	astronomical_stage	biostrat_zone	conodont_zone	er_citation_names	er_expedition_name	er_formation_name	er_fossil_name	er_location_name	er_member_name	er_mineral_name	er_sample_name	er_site_name	er_specimen_name	er_timescale_citation_names	magic_method_codes	magnetic_reversal_chron	oxygen_stage	tiepoint_alternatives	tiepoint_elevation	tiepoint_height	tiepoint_height_sigma	tiepoint_name	tiepoint_type	timescale_eon	timescale_epoch	timescale_era	timescale_period	timescale_stage
			472	461		Ma				:Grishin et al. 1991:				Arkharsu Allochton Gabbros						:Gradstein et al. 2004:	:GM-CC-STRAT:									Phanerozoic	Middle Ordovician	Paleozoic	Ordovician	
			488	461		Ma				:Grishin et al. 1991:				Duana-Karasu Allochton Basalts						:Gradstein et al. 2004:	:GM-CC-STRAT:									Phanerozoic	Early Ordovician : Middle Ordovician	Paleozoic	Ordovician	
			11	7		Ma				:Allerton et al. 1993:				Tortonian Marls						:Gradstein et al. 2004:	:GM-FOSSIL:									Phanerozoic	Miocene	Cenozoic	Neogene	Tortonian
			161	146		Ma				:Allerton et al. 1993:				Jurassic Limestones						:Gradstein et al. 2004:	:GM-FOSSIL:									Phanerozoic	Late Jurassic	Mesozoic	Jurassic	
			260	245		Ma				:Allerton et al. 1993:				Permo-Triassic Sediments						:Gradstein et al. 2004:	:GM-CC-STRAT:									Phanerozoic	Lopingian : Early Triassic	Paleozoic : Mesozoic	Permian : Triassic	
			65	23		Ma				:Mauritsch et al. 1995:				Palaeogene Sediments						:Gradstein et al. 2004:	:GM-FOSSIL:									Phanerozoic	Paleocene : Oligocene	Cenozoic	Paleogene	
			159	155		Ma				:Juarez et al. 1994:				Oxfordian Sediments, Comp.S						:Gradstein et al. 2004:	:GM-FOSSIL:									Phanerozoic	Late Jurassic	Mesozoic	Jurassic	Oxfordian
			247	237		Ma				:Muttoni et al. 1995:				Marmarotrapeza Formation, Comp.C						:Gradstein et al. 2004:	:GM-FOSSIL:									Phanerozoic	Early Triassic : Middle Triassic	Mesozoic	Triassic	
			247	237		Ma				:Muttoni et al. 1995:				Marmarotrapeza Formation, Comp.B						:Gradstein et al. 2004:	:GM-FOSSIL:									Phanerozoic	Early Triassic : Middle Triassic	Mesozoic	Triassic	
			56	23		Ma				:Mattei et al. 1995:				Scaglia Formation, Montagna dei Fiori						:Gradstein et al. 2004:	:GM-FOSSIL:									Phanerozoic	Eocene : Oligocene	Cenozoic	Paleogene	
			146	125		Ma				:Dinares-Turell & Garcia-Senz 2000:				Organya Berriasian-Barremian Sediments, Group 1						:Gradstein et al. 2004:	:GM-FOSSIL:									Phanerozoic	Early Cretaceous	Mesozoic	Cretaceous	Berriasian - Barremian
			100	86		Ma				:Dinares-Turell & Garcia-Senz 2000:				Organya Cenomanian-Coniacian Sediments						:Gradstein et al. 2004:	:GM-FOSSIL:									Phanerozoic	Late Cretaceous	Mesozoic	Cretaceous	Cenomanian - Coniacian
			318	271		Ma				:Jelenska & Vincenz 1985:				Permo-Carboniferous Sediments						:Gradstein et al. 2004:	:GM-CC-STRAT:									Phanerozoic	Pennsylvanian : Cisuralian	Paleozoic	Carboniferous : Permian	
			190	161		Ma				:Kruczyk et al. 1990:				Bulgarian Jurassic Sediments						:Gradstein et al. 2004:	:GM-CC-STRAT:									Phanerozoic	Early Jurassic : Middle Jurassic	Mesozoic	Jurassic	Pliensbachian - Callovian
			146	112		Ma				:Jackson 1990:				Monte Raparo Limestones						:Gradstein et al. 2004:	:GM-CC-STRAT:									Phanerozoic	Early Cretaceous	Mesozoic	Cretaceous	
			100	56		Ma				:Grishin et al. 1991:				Shikotan Volcanites						:Gradstein et al. 2004:	:GM-CC-STRAT:									Phanerozoic	Late Cretaceous : Paleocene	Mesozoic : Cenozoic	Cretaceous : Paleogene	
			416	359		Ma				:Grishin et al. 1991:				Ferghana Devonian Ophiolites						:Gradstein et al. 2004:	:GM-CC-STRAT:									Phanerozoic		Paleozoic	Devonian	
			542	513		Ma				:Grishin et al. 1991:				Karashatsky Massif, Combined						:Gradstein et al. 2004:	:GM-CC-STRAT:									Phanerozoic	Early Cambrian	Paleozoic	Cambrian	
			1650	800		Ma				:Grishin et al. 1991:				Metamorphics, Bechasynskaya Tectonic Zone						:Gradstein et al. 2004:	:GM-CC-STRAT:									Proterozoic		Mesoproterozoic : Neoproterozoic	Calymmian : Tonian	
			245	237		Ma				:Muttoni & Kent 1994:				Prezzo Limestone, Buchenstein Formation, Overprint						:Gradstein et al. 2004:	:GM-FOSSIL:									Phanerozoic	Middle Triassic	Mesozoic	Triassic	Anisian
			176	161		Ma				:Mauritsch et al. 1995:				Middle Jurassic Limestones						:Gradstein et al. 2004:	:GM-FOSSIL:									Phanerozoic	Middle Jurassic	Mesozoic	Jurassic	
			151	146		Ma				:Mauritsch et al. 1995:				Pre-Wisconsinian Tills and Paleosols						:Gradstein et al. 2004:	:GM-FOSSIL:									Phanerozoic	Late Jurassic	Mesozoic	Jurassic	Tithonian
