tab 	pmag_results
antipodal	average_age	average_age_high	average_age_low	average_age_sigma	average_age_unit	average_alpha95	average_dec	average_height	average_inc	average_int	average_int_n	average_int_nn	average_int_rel	average_int_rel_sigma	average_int_rel_sigma_perc	average_int_sigma	average_int_sigma_perc	average_k	average_lat	average_lat_sigma	average_lon	average_lon_sigma	average_n	average_nn	average_r	average_sigma	conglomerate_test	contact_test	data_type	er_analyst_mail_names	er_citation_names	er_fossil_names	er_location_names	er_mineral_names	er_sample_names	er_site_names	er_specimen_names	er_synthetic_names	eta_dec	eta_inc	eta_semi_angle	external_database_ids	external_database_names	fold_test	fold_test_significance	magic_experiment_names	magic_method_codes	magic_software_packages	model_lat	model_lat_sigma	model_lon	model_lon_sigma	normal_alpha95	normal_dec	normal_inc	normal_k	normal_lat	normal_lon	normal_n	percent_reversed	pmag_criteria_codes	pmag_result_name	pmag_rotation_codes	pole_comp_name	result_description	reversal_test	reversed_alpha95	reversed_dec	reversed_inc	reversed_k	reversed_lat	reversed_lon	reversed_n	rock_magnetic_test	tilt_alpha95_corr	tilt_alpha95_uncorr	tilt_correction	tilt_dec_corr	tilt_dec_uncorr	tilt_inc_corr	tilt_inc_uncorr	tilt_k_corr	tilt_k_ratio	tilt_k_uncorr	tilt_n	vadm	vadm_n	vadm_sigma	vdm	vdm_n	vdm_sigma	vgp_alpha95	vgp_dm	vgp_dp	vgp_lat	vgp_lon	vgp_n	vgp_sigma	zeta_dec	zeta_inc	zeta_semi_angle
		245	228		Ma	5.6	1.1		6.3									205.4	41.6		2.2		5	97			ND	ND	i		:Pares et al. 1988:		:Triassic sediments, Catalan Coastal Range:									883	GPMDB	F+	95		:LP-DC4:DE-DI:LT-T-Z:													0		883			Thermal to 680C. High temperature component. IRM (steep initial rise, slope gradual at 0. 8T).	ND								M	5.6	10.9	100	1.1	2.9	6.3	12.9	205.4	4.08	50.3	5								5.6	2.8	51.5	180.4					
143.3		805	771		Ma	15.9	140.8		64.5									13.2	57.5		353		8	81			ND	ND	i		:Potts 1990:		:Torridon Group:									6080	GPMDB	F+	99		:LP-DC4:DE-DI:LT-AF-Z:LT-T-Z:						14.1	125.9	71.8	23.5			6	25		6080			Characteristic. AF to 180mT, thermal to 700C.	R-	36.2	338.4	-38.9	49.6			2	ND	15.9	61	100	140.8	142.1	64.5	47	13.2	7.33	1.8	8								25.5	20.4	18.8	20.4					
		60	20		Ma	4.9	132		-61.4									50.2	40.2		16		18	36			ND	ND	i		:Jackson 1990:		:Monte Raparo Limestones:									6478	GPMDB	ND			:LP-DC4:DE-DI:LT-AF-Z:LT-T-Z:													100		6478			AF to 100mT, thermal to 300C, characteristic component. Secondary magnetization mid-Tertiary?.	ND								ND	4.9	5.5	100	132	77.5	-61.4	-85.3	50.2		41	18								7.5	5.8	54	306					
		190	172		Ma	4.5	312.7		49.5									154.7	43.6		12.5		8	187			ND	ND	a		:Channell 1992:		:Ammonitico Rosso, Corniola Formations:									6933	GPMDB	F+	99		:LP-DC4:DE-DI:LT-T-Z:													0		6933			Combined Result. Thermal to 580C, characteristic component. Includes data from RESULTNO 725.	ND								ND	4.5	11.3	100	312.7	321.4	49.5	45.6	154.7	6.21	24.9	8								5.9	3.9	50.6	279.4					
		155	146		Ma	4.9	309.7		30.6									89.1	46		12		11	462			ND	ND	i		:Channell et al. 1992:		:Upper Ammonotico Rosso:									6974	GPMDB	F+	99		:LP-DC4:DE-DI:LT-AF-Z:LT-T-Z:													0		6974			AF 30-100mT, thermal 300-640C, characteristic component.	ND								ND	4.9	21.9	100	309.7	307.5	30.6	11	89.1	16.81	5.3	11								5.4	3	39.1	263.3					
		461	444		Ma	19	110		10										51		74		2	32			ND	ND	i		:Grishin et al. 1991:		:Agyrek Rocks, Maykain-Kyziltas Zone:									7356	GPMDB	F+			:LP-DC3:DE-DI:LT-T-Z:													0		7356		Pre-folding	Prefolding. Thermal to 200-520C, intersecting planes method. Determined from method of intersecting planes.	ND								ND			100																19.2	9.7	-8	146					
		472	461		Ma	15	110		-3										51		74		3	29			ND	C+	i		:Grishin et al. 1991:		:Agyrek Basalts, Maykain-Kyziltas Zone:									7359	GPMDB	ND			:LP-DC3:DE-DI:LT-T-Z:													0		7359			Thermal to 200-450C, intersecting planes method. Polarity is arbitrary.	ND								ND			100																15	7.5	-14	150					
		1650	800		Ma	3	107		-47									133	44		42		1	19			ND	ND	i		:Grishin et al. 1991:		:Armovskaya Suite:									6835	GPMDB	ND			:LP-DC3:DE-DI:LT-AF-Z:LT-T-Z:													0		6835			Thermal 350C, AF 20mT. Js-T (CT 575C) , Q (0. 13-0. 40). Data included in RESULTNO 6836. Superseded study.	ND								M			100																3.9	2.5	-31	143					
		100	56		Ma	10	126		-32										44		147		2	25			ND	ND	i		:Grishin et al. 1991:		:Shikotan Volcanites:									6696	GPMDB	ND			:LP-DC1:DE-DI:LT-T-Z:													100		6696			Thermal 520-540C. Data included in RESULTNO 6698. Superseded study.	ND								ND			100																11.3	6.3	38	44					
		100	89		Ma	6.7	327		40									42	41		16.5		12	56			ND	ND	i		:Marton & Nardi 1994:		:Apulian Limestones:									7507	GPMDB	ND			:LP-DC4:DE-DI:LT-AF-Z:LT-T-Z:													0		7507			Thermal to 580C, AF to 135mT, characteristic component. IRM (sat. 0. 2T, no sat. 2T) , SUSC (vs Temp). Mean of three localities calculated (12 sites).	ND								M	6.7	6.5	100	327	324	40	41	42		44	12								7.9	4.7	56	261					
