tab 	magic_measurements
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_method_codes	magic_software_packages	measurement_csd	measurement_date	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_standard	measurement_temp	measurement_time_zone	treatment_ac_field	treatment_dc_field	treatment_dc_field_phi	treatment_dc_field_theta	treatment_temp
Bowles	10.1029/2005GC001141	EPR	AL2360-1	1991-1992 Eruption Site	AL2360-1b	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	LT-NO:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT				285.60		g	25.6	2.50E-07	0		u	273			0	0	0	273
Bowles	10.1029/2005GC001141	EPR	AL2360-1	1991-1992 Eruption Site	AL2360-1b	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT				289.00		g	25.6	2.48E-07	1		u	273			0	0	0	3.73E+02
Bowles	10.1029/2005GC001141	EPR	AL2360-1	1991-1992 Eruption Site	AL2360-1b	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT				285.80		g	25.6	2.48E-07	2		u	273			2.50E-05	0	90	3.73E+02
Bowles	10.1029/2005GC001141	EPR	AL2360-1	1991-1992 Eruption Site	AL2360-1b	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT				287.20		g	24.1	2.45E-07	3		u	273			0	0	0	3.98E+02
Bowles	10.1029/2005GC001141	EPR	AL2360-1	1991-1992 Eruption Site	AL2360-1b	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT				286.60		g	26.3	2.52E-07	4		u	273			2.50E-05	0	90	3.98E+02
Bowles	10.1029/2005GC001141	EPR	AL2360-1	1991-1992 Eruption Site	AL2360-1b	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT				287.80		g	24.9	2.45E-07	5		u	273			0	0	0	4.23E+02
Bowles	10.1029/2005GC001141	EPR	AL2360-1	1991-1992 Eruption Site	AL2360-1b	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	LT-PTRM-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT				289.00		g	26.2	2.48E-07	6		u	273			2.50E-05	0	90	3.73E+02
Bowles	10.1029/2005GC001141	EPR	AL2360-1	1991-1992 Eruption Site	AL2360-1b	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT				287.00		g	26.7	2.50E-07	7		u	273			2.50E-05	0	90	4.23E+02
Bowles	10.1029/2005GC001141	EPR	AL2360-1	1991-1992 Eruption Site	AL2360-1b	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT				287.80		g	25.9	2.43E-07	8		u	273			0	0	0	4.48E+02
Bowles	10.1029/2005GC001141	EPR	AL2360-1	1991-1992 Eruption Site	AL2360-1b	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT				287.40		g	26.9	2.48E-07	9		u	273			2.50E-05	0	90	4.48E+02
