tab 	pmag_specimens
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_names	magic_method_codes	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_b_beta	specimen_correction	specimen_dck	specimen_dpal	specimen_dt	specimen_dtr	specimen_f	specimen_frac	specimen_gmax	specimen_int	specimen_int_alpha	specimen_int_corr_anisotropy	specimen_int_corr_cooling_rate	specimen_int_corr_nlt	specimen_int_dang	specimen_int_mad	specimen_int_mad_anc	specimen_int_n	specimen_int_ptrm_n	specimen_k_prime	specimen_lab_field_dc	specimen_q	specimen_scat
This study	Hawaii	B	Hawaii 1960 Flow	B-6-3	B-6-3 : LP-PI-TRM : LP-PI-ZI : LP-PI-ALT-PTRM	LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:IE-TT	873	743	K	0.04	u	4.30	0.89	-999.00	nan	0.61	0.54	0.45	4.43e-05	0.18	1.00			0.30	0.22	0.20	5	6	0.01	3.00e-05	10.35	1
This study	Hawaii	B	Hawaii 1960 Flow	B-8-1	B-8-1 : LP-PI-TRM : LP-PI-ZI : LP-PI-ALT-PTRM	LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:IE-TT	813	603	K	0.08	u	2.78	4.83	-999.00	nan	0.74	0.69	0.22	4.34e-05	0.44	1.00			0.51	0.62	0.28	8	4	0.47	3.00e-05	7.26	1
This study	Hawaii	B	Hawaii 1960 Flow	B-9-3	B-9-3 : LP-PI-TRM : LP-PI-ZI : LP-PI-ALT-PTRM	LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:IE-TT	773	273	K	0.02	u	1.67	3.89	-999.00	nan	0.53	0.53	0.19	4.81e-05	1.64	1.00			1.72	2.08	0.59	8	3	0.11	3.00e-05	18.26	1
This study	Finland	BR06	BR06	BR06-3F	BR06-3F : LP-PI-TRM : LP-PI-ZI : LP-PI-ALT-PTRM : LP-PI-BT-MD	LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD:IE-TT	853	273	K	0.03	u	4.57	4.51	-999.00	2.36	0.98	0.96	0.28	4.21e-05	1.25	1.00			1.97	3.19	2.15	14	6	0.15	5.03e-05	27.97	1
This study	Finland	BR06	BR06	BR06-4F	BR06-4F : LP-PI-TRM : LP-PI-ZI : LP-PI-ALT-PTRM : LP-PI-BT-MD	LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD:IE-TT	813	273	K	0.05	u	4.28	3.03	-999.00	1.57	0.94	0.94	0.29	4.22e-05	1.38	1.00			1.99	3.88	2.34	13	5	0.09	5.03e-05	16.70	1
This study	Finland	BR06	BR06	BR06-5F	BR06-5F : LP-PI-TRM : LP-PI-ZI : LP-PI-ALT-PTRM : LP-PI-BT-MD	LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD:IE-TT	853	273	K	0.03	u	4.28	3.34	-999.00	1.48	0.98	0.96	0.27	4.21e-05	1.19	1.00			1.83	5.21	3.21	14	6	0.14	5.03e-05	33.14	1
This study	Hawaii	C	Hawaii 1960 Flow	C-1-3	C-1-3 : LP-PI-TRM : LP-PI-ZI : LP-PI-ALT-PTRM	LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:IE-TT	793	273	K	0.04	u	1.92	2.70	-999.00	nan	0.56	0.56	0.28	4.03e-05	1.04	1.00			1.09	2.03	0.48	9	3	0.13	3.00e-05	12.23	1
This study	Hawaii	C	Hawaii 1960 Flow	C-2-3	C-2-3 : LP-PI-TRM : LP-PI-ZI : LP-PI-ALT-PTRM	LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:IE-TT	808	623	K	0.02	u	2.34	0.68	-999.00	nan	0.75	0.76	0.47	4.33e-05	0.73	1.00			0.85	1.38	0.60	6	4	-0.13	3.00e-05	20.89	1
This study	Hawaii	C	Hawaii 1960 Flow	C-3-3	C-3-3 : LP-PI-TRM : LP-PI-ZI : LP-PI-ALT-PTRM	LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:IE-TT	873	773	K	0.01	u	0.89	1.20	-999.00	nan	0.59	0.60	0.41	4.25e-05	0.55	1.00			1.13	0.18	0.58	6	6	0.00	3.00e-05	29.22	1
This study	Hawaii	C	Hawaii 1960 Flow	C-4-1	C-4-1 : LP-PI-TRM : LP-PI-ZI : LP-PI-ALT-PTRM	LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:IE-TT	813	273	K	0.03	u	2.91	4.55	-999.00	nan	0.79	0.77	0.25	3.78e-05	0.79	1.00			0.87	1.25	0.47	10	4	0.13	3.00e-05	25.92	1
