tab	sites
site	location	samples	specimens	age	age_sigma	age_unit	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens_lines	dir_n_specimens_planes	dir_nrm_origin	dir_polarity	dir_r	dir_tilt_correction	lat	lon	geologic_classes	geologic_types	lithologies	analysts	criteria	description	software_packages	int_abs	int_abs_sigma	int_abs_sigma_perc	int_n_samples	citations	method_codes	result_quality	result_type	vadm	vadm_n_samples	vadm_sigma	vdm	vdm_n_samples	vdm_sigma	vgp_dm	vgp_dp	vgp_lat	vgp_lon	vgp_n_samples
mc111	McMurdo		mc111b1 : mc111d1 : mc111d2 : mc111e1 : mc111e2 : mc111f1:mc111a2	1.99	0.02	Ma	1.7	A	47.9	-67.6	1243.3	7.0	7.0	0.0	p	n	6.9952	0.0	-78.22399999999999	162.787	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc111	McMurdo	mc111e:mc111d	mc111e2:mc111d2	1.99	0.02	Ma													-78.22399999999999	162.787	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	IE-SPEC	Intensity included in Pmag_Results.	pmagpy-2.60	2.7899999999999997e-05	4.299e-07	1.541	2.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	g												
mc112	McMurdo		mc112d1 : mc112g1 : mc112h3 : mc112j1:mc112a1	7.63	0.16	Ma	5.2	A	232.9	75.7	220.9	5.0	5.0	0.0	p	r	4.9819	0.0	-78.238	163.441	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc113	McMurdo		mc113b1 : mc113c1 : mc113h1 : mc113j1 : mc113m1:mc113a1	6.73	0.085	Ma	3.0	A	264.4	75.4	504.1	6.0	6.0	0.0	p	r	5.9901	0.0	-78.226	162.735	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc113	McMurdo	mc113m:mc113j	mc113m1:mc113j1	6.73	0.085	Ma													-78.226	162.735	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	IE-SPEC	Intensity included in Pmag_Results.	pmagpy-2.60	1.182e-05	4.5399999999999996e-07	3.842	2.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	g												
mc114	McMurdo		mc114b2 : mc114c1 : mc114d2 : mc114i1:mc114a1	1.62	0.14	Ma	3.1	A	52.4	-69.7	614.0	5.0	5.0	0.0	p	n	4.9935	0.0	-78.22399999999999	162.783	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc115	McMurdo		mc115a2 : mc115b1 : mc115e1 : mc115g2 : mc115h1:mc115a1	2.46	0.155	Ma	3.5	A	77.7	68.1	359.2	6.0	6.0	0.0	p	r	5.9861	0.0	-78.243	162.958	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc115	McMurdo	mc115b:mc115a	mc115b1:mc115a2	2.46	0.155	Ma													-78.243	162.958	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	IE-SPEC	Intensity included in Pmag_Results.	pmagpy-2.60	2.461e-05	4.299e-07	1.7469999999999999	2.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	g												
mc116	McMurdo		mc116b1 : mc116c1 : mc116i2 : mc116j2:mc116a1	1.14	0.055	Ma	6.5	A	274.6	-81.2	139.7	5.0	5.0	0.0	p	n	4.9714	0.0	-78.222	162.744	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc116	McMurdo	mc116j:mc116b	mc116j2:mc116b1	1.14	0.055	Ma													-78.222	162.744	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	IE-SPEC	Intensity included in Pmag_Results.	pmagpy-2.60	3.977e-05	1.761e-06	4.427	2.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	g												
