tab	images
location	site	file	keywords	title	type	citations	photographers	timestamp
McMurdo	mc202	DSC_0247.JPG	McMurdo Volcanics: paleomagnetic sampling :Inaccessible Island	MC202 detail of samples	Outcrop	This study	Hubert Staudigel	2006-11-27T00:00:00Z
McMurdo	mc202	DSC_0248.JPG	McMurdo Volcanics: paleomagnetic sampling :Inaccessible Island	MC202 detail of samples	Outcrop	This study	Hubert Staudigel	2006-11-27T00:00:00Z
McMurdo	mc202	DSC_0249.JPG	McMurdo Volcanics: paleomagnetic sampling :Inaccessible Island	MC202 detail of samples	Outcrop	This study	Hubert Staudigel	2006-11-27T00:00:00Z
McMurdo	mc203	DSC_0168.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Barnes Dike	MC203 drilling	Outcrop	This study	Hubert Staudigel	2006-11-27T00:00:00Z
McMurdo	mc203	DSC_0181.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Barnes Dike	MC203 drilling	Outcrop	This study	Hubert Staudigel	2006-11-27T00:00:00Z
McMurdo	mc203	DSC_0188.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Barnes Dike	MC203 drilling	Outcrop	This study	Hubert Staudigel	2006-11-27T00:00:00Z
McMurdo	mc203	DSC_0196.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Barnes Dike	MC203 drilling	Outcrop	This study	Hubert Staudigel	2006-11-27T00:00:00Z
McMurdo	mc203	DSC_0252.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Barnes Dike	MC203 drilling	Outcrop	This study	Hubert Staudigel	2006-11-27T00:00:00Z
McMurdo	mc203	DSC_0253.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Barnes Dike	MC203 detail of samples	Outcrop	This study	Hubert Staudigel	2006-11-27T00:00:00Z
McMurdo	mc203	DSC_0254.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Barnes Dike	MC203 detail of samples	Outcrop	This study	Hubert Staudigel	2006-11-27T00:00:00Z
McMurdo	mc203	DSC_0255.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Barnes Dike	MC203 detail of samples	Outcrop	This study	Hubert Staudigel	2006-11-27T00:00:00Z
McMurdo	mc203	DSC_0256.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Barnes Dike	MC203 detail of samples	Outcrop	This study	Hubert Staudigel	2006-11-27T00:00:00Z
McMurdo	mc203	DSC_0257.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Barnes Dike	MC203 detail of samples	Outcrop	This study	Hubert Staudigel	2006-11-27T00:00:00Z
McMurdo	mc203	DSC_0258.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Barnes Dike	MC203 detail of samples	Outcrop	This study	Hubert Staudigel	2006-11-27T00:00:00Z
McMurdo	mc203	DSC_0259.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Barnes Dike	MC203 detail of samples	Outcrop	This study	Hubert Staudigel	2006-11-27T00:00:00Z
McMurdo	mc204	DSC_0200.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Evans	MC204 detail of samples	Outcrop	This study	Hubert Staudigel	2006-11-28T00:00:00Z
McMurdo	mc204	DSC_0201.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Evans	MC204 detail of samples	Outcrop	This study	Hubert Staudigel	2006-11-28T00:00:00Z
McMurdo	mc204	DSC_0202.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Evans	MC204 detail of samples	Outcrop	This study	Hubert Staudigel	2006-11-28T00:00:00Z
McMurdo	mc204	DSC_0203.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Evans	MC204 detail of samples	Outcrop	This study	Hubert Staudigel	2006-11-28T00:00:00Z
McMurdo	mc204	DSC_0204.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Evans	MC204 detail of samples	Outcrop	This study	Hubert Staudigel	2006-11-28T00:00:00Z
McMurdo	mc204	DSC_0205.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Evans	MC204 detail of samples	Outcrop	This study	Hubert Staudigel	2006-11-28T00:00:00Z
